Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Japan,JPN,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,98.1830423,98.44542057,98.5706827,99.33991071,98.64918868,98.30454247,97.97831104,98.49061154,98.58597703,98.10727415,99.55096418,99.44905118,98.53949375,100.5430106,101.5466186,102.316726,102.4651667,100.4190885,99.00899508,99.06973362,99.76667145,..,..
Jordan,JOR,Population growth (annual %),SP.POP.GROW,1.949182856,1.760055747,1.787101363,1.834569219,1.901746964,2.167663534,2.655147125,3.268279206,3.843317915,4.307743286,4.702766143,5.009055408,5.204766722,5.382885713,5.431586568,5.172912275,4.583580445,3.811240004,3.028091537,2.356016488,1.792156922,1.452664319,..
Jordan,JOR,"Population, total",SP.POP.TOTL,4943975,5031762,5122493,5217336,5317506,5434030,5580244,5765635,5991540,6255280,6556478,6893260,7261539,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011,10101694,..
Jordan,JOR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.7,..,..
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.386,71.556,71.73,71.907,72.083,72.256,72.427,72.595,72.763,72.931,73.099,73.266,73.428,73.581,73.722,73.851,73.969,74.078,74.184,74.292,74.405,74.526,..
Jordan,JOR,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,76.478508,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.05285645,94.46800995,27.16605949,79.21813202,..
Jordan,JOR,"School enrollment, primary (% net)",SE.PRM.NENR,..,87.10463,87.77451,..,89.65828,90.93573,91.02632,89.88528,87.97299,85.20743,82.77949,..,80.7257,78.26942,75.45445,74.83179,..,..,76.75783,80.09353,80.8644,..,..
Jordan,JOR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1401.880236,1404.80049,1493.466532,1570.888896,1629.621937,1709.73361,1894.734037,2028.596687,2365.376457,2582.650936,3224.936328,3306.08199,3399.46072,3487.025648,3544.844878,3701.099223,3774.953215,3799.281983,3795.303041,3931.400032,4018.131712,4131.544006,..
Jordan,JOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.246,4.185,4.129,4.08,4.037,3.999,3.967,3.939,3.914,3.891,3.869,3.849,3.832,3.818,3.809,3.805,3.806,3.813,3.826,3.843,3.864,3.889,..
Jordan,JOR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,89.89231873,..,91.13075256,..,92.19957733,..,..,92.55104065,95.90444946,97.89031982,..,..,..,..,..,98.22711182,..,..
Jordan,JOR,Gross domestic savings (current US$),NY.GDS.TOTL.CD,184682792.7,300869111.4,-364915091.7,-355480818.1,86120169.25,-12519746.12,-326268265.2,-925439069.1,-852097038.1,-1241598731,637025411.1,1980059595,2958750087,851675147.9,-257740825.5,-1720573111,-909801966.5,-35551370.99,161351526.3,-666513218.4,295425906.9,2196217004,..
